episode_id,seat,policy_tag,win,opening_shape
70,2,flexaggrod,0,3.769
70,3,flexaggrod,0,5.06
71,0,flexaggrod,0,2.7390000000000003
71,1,flexaggrod,0,2.254
71,2,flexaggrod,0,2.284
71,3,flexaggrod,1,2.7390000000000003
72,0,flexaggrod,0,3.769
72,1,flexaggrod,0,2.7990000000000004
72,2,flexaggrod,1,2.7390000000000003
72,3,flexaggrod,0,3.769
73,0,flexaggrod,0,3.254
73,1,flexaggrod,0,2.284
73,2,flexaggrod,0,2.7990000000000004
73,3,flexaggrod,0,3.769
74,0,flexaggrod,1,2.7990000000000004
74,1,flexaggrod,0,3.769
74,2,flexaggrod,0,3.254
74,3,flexaggrod,0,3.0900000000000003
75,0,flexaggrod,0,4.09
75,1,flexaggrod,1,3.254
75,2,flexaggrod,0,3.769
75,3,flexaggrod,0,2.7990000000000004
76,0,flexaggrod,0,2.254
76,1,flexaggrod,0,5.06
76,2,flexaggrod,0,4.06
76,3,flexaggrod,1,3.769
77,0,flexaggrod,0,2.284
77,1,flexaggrod,0,2.7390000000000003
77,2,flexaggrod,0,2.7990000000000004
77,3,flexaggrod,1,2.7990000000000004
78,0,flexaggrod,0,1.7690000000000001
78,1,flexaggrod,1,2.284
78,2,flexaggrod,0,2.7990000000000004
78,3,flexaggrod,0,3.12
79,0,flexaggrod,0,3.769
79,1,flexaggrod,1,3.12
79,2,flexaggrod,0,2.2239999999999998
79,3,flexaggrod,0,4.09
80,0,flexaggrod,1,2.284
80,1,flexaggrod,0,2.7990000000000004
80,2,flexaggrod,0,3.254
80,3,flexaggrod,0,2.2239999999999998
81,0,flexaggrod,0,2.7390000000000003
81,1,flexaggrod,0,5.06
81,2,flexaggrod,1,3.254
81,3,flexaggrod,0,4.06
82,0,flexaggrod,0,3.254
82,1,flexaggrod,0,2.7390000000000003
82,2,flexaggrod,0,2.769
82,3,flexaggrod,1,2.769
83,0,flexaggrod,0,1.829
83,1,flexaggrod,1,2.7390000000000003
83,2,flexaggrod,0,2.769
83,3,flexaggrod,0,4.06
84,0,flexaggrod,0,2.284
84,1,flexaggrod,0,4.06
84,2,flexaggrod,1,3.769
84,3,flexaggrod,0,4.09
85,0,flexaggrod,0,2.7390000000000003
85,1,flexaggrod,0,2.7990000000000004
85,2,flexaggrod,0,5.06
85,3,flexaggrod,1,2.769
86,0,flexaggrod,0,2.2239999999999998
86,1,flexaggrod,0,3.769
86,2,flexaggrod,1,2.769
86,3,flexaggrod,0,4.09
87,0,flexaggrod,0,3.06
87,1,flexaggrod,1,5.06
87,2,flexaggrod,0,3.254
87,3,flexaggrod,0,4.09
88,0,flexaggrod,0,2.284
88,1,flexaggrod,1,2.769
88,2,flexaggrod,0,3.769
