episode_id,policy_tag,win,opening_shape,points,reward
61,flexaggrod,0,2.284,0.0,0.0
61,flexaggrod,0,2.769,0.0,0.0
61,flexaggrod,0,3.06,0.0,-1.4375
61,flexaggrod,1,2.7390000000000003,0.0,1.4375
62,flexaggrod,0,2.2239999999999998,0.0,-1.5
62,flexaggrod,0,3.769,0.0,0.0
62,flexaggrod,1,3.254,0.0,1.5
62,flexaggrod,0,2.769,0.0,0.0
63,flexaggrod,1,1.2839999999999998,0.0,3.75
63,flexaggrod,0,2.284,0.0,-1.25
63,flexaggrod,0,3.769,0.0,-1.25
63,flexaggrod,0,4.06,0.0,-1.25
64,flexaggrod,0,3.254,0.0,0.0
64,flexaggrod,0,3.254,0.0,-1.5
64,flexaggrod,0,3.254,0.0,0.0
64,flexaggrod,1,3.769,0.0,1.5
65,flexaggrod,1,2.284,0.0,1.3125
65,flexaggrod,0,3.06,0.0,0.0
65,flexaggrod,0,4.06,0.0,0.0
65,flexaggrod,0,2.284,0.0,-1.3125
66,flexaggrod,0,2.769,0.0,0.0
66,flexaggrod,0,2.7990000000000004,0.0,0.0
66,flexaggrod,1,3.769,0.0,1.375
66,flexaggrod,0,2.7990000000000004,0.0,-1.375
67,flexaggrod,0,1.799,0.0,-1.4375
67,flexaggrod,0,4.06,0.0,-1.4375
67,flexaggrod,0,3.254,0.0,-1.4375
67,flexaggrod,1,3.254,0.0,4.3125
68,flexaggrod,1,3.254,0.0,1.5625
68,flexaggrod,0,3.254,0.0,0.0
68,flexaggrod,0,2.7390000000000003,0.0,0.0
68,flexaggrod,0,5.06,0.0,-1.5625
69,flexaggrod,1,2.7990000000000004,0.0,1.375
69,flexaggrod,0,3.769,0.0,-1.375
69,flexaggrod,0,2.7390000000000003,0.0,0.0
69,flexaggrod,0,2.7390000000000003,0.0,0.0
70,flexaggrod,0,2.7390000000000003,0.0,-1.5625
70,flexaggrod,0,3.12,0.0,0.0
70,flexaggrod,1,2.7390000000000003,0.0,1.5625
70,flexaggrod,0,2.284,0.0,0.0
71,flexaggrod,0,3.254,0.0,0.0
71,flexaggrod,0,3.254,0.0,0.0
71,flexaggrod,0,2.7990000000000004,0.0,0.0
71,flexaggrod,0,1.739,0.0,0.0
72,flexaggrod,0,2.7390000000000003,0.0,-2.6875
72,flexaggrod,0,3.254,0.0,0.0
72,flexaggrod,0,3.254,0.0,0.0
72,flexaggrod,1,2.7390000000000003,0.0,2.6875
73,flexaggrod,0,4.09,0.0,0.0
73,flexaggrod,0,2.7390000000000003,0.0,0.0
73,flexaggrod,0,3.254,0.0,0.0
73,flexaggrod,0,2.7990000000000004,0.0,0.0
74,flexaggrod,0,2.769,0.0,-1.5
74,flexaggrod,1,3.254,0.0,1.5
74,flexaggrod,0,5.06,0.0,0.0
74,flexaggrod,0,3.769,0.0,0.0
75,flexaggrod,0,2.284,0.0,-1.6875
75,flexaggrod,1,4.06,0.0,1.6875
75,flexaggrod,0,4.09,0.0,0.0
75,flexaggrod,0,3.254,0.0,0.0
76,flexaggrod,0,3.254,0.0,-1.3125
76,flexaggrod,1,1.7690000000000001,0.0,3.9375
76,flexaggrod,0,2.2239999999999998,0.0,-1.3125
76,flexaggrod,0,3.769,0.0,-1.3125
77,flexaggrod,0,3.254,0.0,-1.3125
77,flexaggrod,1,2.7990000000000004,0.0,3.9375
77,flexaggrod,0,3.769,0.0,-1.3125
77,flexaggrod,0,2.769,0.0,-1.3125
78,flexaggrod,0,2.284,0.0,-0.6875
78,flexaggrod,1,3.769,0.0,2.0625
78,flexaggrod,0,3.769,0.0,-0.6875
